"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"SCL_B_31","numeric",822,0.159509202453988,6,1.31995133819951,1,1,NA,0.661129581897775,NA,1,5,4,2.44858806313825,14.3560987781331,6.84189815039832,20.081240092777,NA,NA
"SCL_C_31","numeric",743,0.240286298568507,5,1.33243606998654,1,1,NA,0.645206553685118,NA,1,4,3,2.14288849064845,11.9471021607153,4.58341375141984,12.7938222107323,NA,NA
"SCL_D_31","numeric",563,0.424335378323108,6,1.42273534635879,1,1,NA,0.783945886049382,NA,1,5,4,2.11409348101802,10.2665708642366,4.56205285127347,11.0966531218316,NA,NA
"SCL_E_31","numeric",555,0.432515337423313,6,1.45765765765766,1,1,NA,0.801346965054742,NA,1,5,4,1.93404058136747,9.32557563196559,3.49039809915739,8.4299754166576,NA,NA
"SCL_G_31","numeric",601,0.385480572597137,6,1.4675540765391,1,1,NA,0.761158442214358,NA,1,5,4,1.86385142290447,9.35024377332548,3.75389660340941,9.43141788739721,NA,NA
"SCL_A_32","numeric",842,0.139059304703476,5,1.08907363420428,1,1,NA,0.331320776764975,NA,1,4,3,4.36704615152572,25.9125350142173,22.9112759093039,68.0537874546692,NA,NA
"SCL_B_32","numeric",822,0.159509202453988,5,1.13625304136253,1,1,NA,0.41108225802045,NA,1,4,3,3.24343760507299,19.0163103954127,10.8587941141136,31.8709876894109,NA,NA
"SCL_C_32","numeric",743,0.240286298568507,5,1.13324360699865,1,1,NA,0.418263775778171,NA,1,4,3,3.48284663492601,19.4176807328754,13.0078265151318,36.3091417900236,NA,NA
"SCL_D_32","numeric",563,0.424335378323108,6,1.18650088809947,1,1,NA,0.53259822202333,NA,1,5,4,3.59941154827616,17.4796498176298,15.557178214273,37.8409930411289,NA,NA
"SCL_E_32","numeric",555,0.432515337423313,6,1.18378378378378,1,1,NA,0.571990719128423,NA,1,5,4,4.03051164364506,19.4343601320682,18.796388563115,45.396854171808,NA,NA
"SCL_G_32","numeric",602,0.384458077709611,6,1.16112956810631,1,1,NA,0.488419011987346,NA,1,5,4,3.69508051146354,18.5521724119702,16.0673253339987,40.4013914306849,NA,NA
"SCL_A_51","numeric",843,0.138036809815951,5,1.06761565836299,1,1,NA,0.298742231680891,NA,1,4,3,5.31663638281491,31.565735109941,34.0245789395336,101.123481384642,NA,NA
"SCL_B_51","numeric",820,0.161554192229039,5,1.11585365853659,1,1,NA,0.379566461833429,NA,1,4,3,3.58408746381348,20.9880576980375,13.7372884541381,40.2706968830552,NA,NA
"SCL_C_51","numeric",746,0.23721881390593,4,1.11394101876676,1,1,NA,0.357686476272854,NA,1,3,2,3.26069138612826,18.2156302743546,10.6530098468683,29.7956440544485,NA,NA
